dt,acc_x,acc_y,acc_z,vel_N,vel_E,vel_D,pos_N,pos_E,pos_D,rot_x,rot_y,rot_z,lat,lon,alt,pressure,state,battery,ign1_cont,ign2_cont,ign3_cont,ign4_cont,ign1_state,ign2_state,ign3_state,ign4_state,gps_fix,gps_sats,height,h,State2,gps_h,Sats 2,rotx,,rotz
20042,"-0,0002148002","-0,04610273","-0,06714423",0,0,"-0,2328111","1,779863","1,744287","2,772525","50,64513","268,1322","355,7247","50,33809183","19,53102167","339,2000122",98596,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6860608","0,4255061531",0,"0,3000183105",1000,"0,23223",,
20022,"-0,01866445","-0,03536648","-0,06988128",0,0,"-0,2306027","1,779863","1,744287","2,777977","50,66077","268,1125","355,7112","50,33809183","19,53102167","339,2000122",98597,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6009581","0,3404035247",0,"0,3000183105",1000,"0,24787",,
19999,"0,06718627","0,01648644","-0,1187628",0,0,"-0,2291905","1,761322","1,720556","2,78222","50,62838","268,0434","355,6728","50,338092","19,531022","339,2000122",98596,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6860608","0,4255061531",0,"0,3000183105",1000,"0,21548",,
20025,"0,01708429","-0,05679676","-0,1088608",0,0,"-0,2273555","1,761322","1,720556","2,787594","50,64629","268,0153","355,6136","50,338092","19,531022","339,2000122",98595,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,7711641","0,5106094805",0,"0,3000183105",1000,"0,23339",,
20039,"0,06559043","-0,001334712","-0,06896098",0,0,"-0,2249516","1,761322","1,696824","2,794019","50,64203","268,0236","355,6143","50,338092","19,53102233","339,2000122",98595,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,7711641","0,5106094805",0,"0,3000183105",1000,"0,22913",,
20471,"-0,01099674","0,02480501","-0,08873828",0,0,"-0,2233886","1,761322","1,696824","2,798413","50,65994","268,132","355,722","50,338092","19,53102233","339,1000061",98597,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6009581","0,3404035247",0,"0,200012207",1000,"0,24704",,
20585,"0,05005644","0,02940177","-0,0960892",0,0,"-0,2237358","1,742782","1,673092","2,797543","50,65515","268,1387","355,6898","50,33809217","19,53102267","339,1000061",98601,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,2605546",0,0,"0,200012207",1000,"0,24225",,
20758,"0,03697971","-0,02020511","-0,08508666",0,0,"-0,223594","1,742782","1,673092","2,797508","50,68351","268,1395","355,6914","50,33809217","19,53102267","339,1000061",98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,"0,200012207",1000,"0,27061",,
20305,"-0,02686632","0,03490087","-0,1310995",0,0,"-0,2232585","1,742782","1,661226","2,798762","50,70611","268,0586","355,701","50,33809217","19,53102283",339,98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"0,1000061035",1000,"0,29321",,
20065,"0,02955692","0,04027463","-0,09276183",0,0,"-0,2226998","1,742782","1,661226","2,799853","50,75084","268,0945","355,786","50,33809217","19,53102283",339,98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,"0,1000061035",1000,"0,33794",,
20628,"-0,005343296","0,02632736","-0,05473121",0,0,"-0,2228612","1,705702","1,637494","2,798565","50,73896","268,1242","355,7444","50,3380925","19,53102317",339,98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,"0,1000061035",1000,"0,32606",,
